HA mid,Dec,VIS band,PSF,Guide,VIS Centre,NIR Centre,VIS Min,VIS Max,VIS Throughput,NIR Min,NIR Max,NIR Throughput,Metric
0,-80,B,durham,0.6,0.42,1.05,0.65491207191884,0.9727376146648052,0.873088182446874,0.6607617094354578,0.9795772979078062,0.841367160408038,
1,-80,B,durham,0.6,0.42,1.05,0.6510035441051547,0.9721157914471018,0.8700320186848468,0.6530133014024541,0.9788577272696408,0.8370090106795521,
2,-80,B,durham,0.6,0.42,1.05,0.6311172511402143,0.969977189838179,0.8602236482277174,0.6294784575002506,0.97725362425944,0.8239195680548668,
3,-80,B,durham,0.6,0.42,1.05,0.5865817514800465,0.9663081853506724,0.8422316139413271,0.5902240306978385,0.9743707083865756,0.8017291041577495,
4,-80,B,durham,0.6,0.42,1.05,0.5204141261221528,0.960561718555204,0.8145910569038782,0.5355999295115927,0.9702832231498936,0.7699014020671849,
0,-75,B,durham,0.6,0.42,1.05,0.654627252765898,0.9692571211478862,0.8667954366280053,0.6794269596116392,0.9811230327387496,0.8778167099706501,
1,-75,B,durham,0.6,0.42,1.05,0.6428514994808039,0.9683556763082736,0.86178668472392,0.6683895385662769,0.980150932379749,0.87208105048499,
2,-75,B,durham,0.6,0.42,1.05,0.6732560854208778,0.9698344512993136,0.8716275285294861,0.6750038048257472,0.9793800251307058,0.8607976271587531,
3,-75,B,durham,0.6,0.42,1.05,0.658759320662795,0.9701191210932164,0.8699467545171649,0.6601012145673109,0.9774067344639666,0.8377939631677767,
4,-75,B,durham,0.6,0.42,1.05,0.572632906939847,0.9620340290439297,0.8356969802967085,0.5870957838472086,0.9710705305725744,0.7967976748568296,
0,-70,B,durham,0.6,0.42,1.05,0.7373926904138973,0.974566032214865,0.8996874486710256,0.7626817946722662,0.9841895097998906,0.9120056434160472,
1,-70,B,durham,0.6,0.42,1.05,0.7241353600589255,0.9733722726634908,0.8944028522345494,0.7502321421022135,0.9834359528142196,0.9062935867572532,
2,-70,B,durham,0.6,0.42,1.05,0.682969259021551,0.9694727057807492,0.8776646675638748,0.710454154611688,0.9809797764078662,0.8881989944243339,
3,-70,B,durham,0.6,0.42,1.05,0.6648469803111806,0.9674459290221084,0.8682576832068902,0.6732922046720834,0.9778203739320752,0.8612535302035335,
4,-70,B,durham,0.61,0.42,1.05,0.6102040064771442,0.9601998445441234,0.8494978072843841,0.6297643883800139,0.9740859539718356,0.8193289903199159,
0,-65,B,durham,0.59,0.42,1.05,0.8023835933121193,0.9796845145916916,0.9254498016251844,0.8264129899963868,0.9852236599365132,0.9342546064180496,
1,-65,B,durham,0.6,0.42,1.05,0.7868666531274364,0.9770888782000552,0.9187414351491404,0.8136087382197901,0.9858909616180076,0.9303785989096696,
2,-65,B,durham,0.6,0.42,1.05,0.7428066664391395,0.972906862798222,0.901362296679394,0.7720360144079021,0.9833579654597258,0.9125135755447824,
3,-65,B,durham,0.6,0.42,1.05,0.6627664431468517,0.9641495516754348,0.8684336876243324,0.6949427862999012,0.9777257596587188,0.8775684410040557,
4,-65,B,durham,0.61,0.42,1.05,0.6363941480779202,0.9580267717898178,0.8578291279652742,0.6580056442511305,0.973473856753828,0.8332838523071986,
0,-60,B,durham,0.59,0.42,1.05,0.8339537099835449,0.9804386412084166,0.9373047877573696,0.8656780264132374,0.987701622570702,0.9553375412609793,
1,-60,B,durham,0.59,0.42,1.05,0.8265711215221155,0.980058379647433,0.9339849739134374,0.8542522677206866,0.9862386686467156,0.9483703215482692,
2,-60,B,durham,0.6,0.42,1.05,0.7900543685163411,0.975586086002167,0.9193942311403566,0.8193963130360326,0.984891247320765,0.9300694015669188,
3,-60,B,durham,0.6,0.42,1.05,0.7040066987569513,0.966108414469926,0.8848362262474414,0.7382265252831102,0.9788012840782446,0.8943508360148292,
4,-60,B,durham,0.61,0.42,1.05,0.6434759300802819,0.9517986884140728,0.8538810180418697,0.6615712118981957,0.9713012893041504,0.8415071911598302,
0,-55,B,durham,0.6,0.42,1.05,0.8763414038090157,0.9815385572608316,0.9516288171723728,0.9072959534926176,0.9897773042757524,0.9680904416931644,
1,-55,B,durham,0.59,0.42,1.05,0.8609720855054548,0.9812799822431002,0.9466677297346276,0.89192432796573,0.98824555332553,0.9621367350269586,
2,-55,B,durham,0.6,0.42,1.05,0.8208984893884128,0.9762347989697866,0.9295446830744122,0.8496677979674501,0.9861921111898264,0.9440585292356763,
3,-55,B,durham,0.6,0.42,1.05,0.7362606492239196,0.9674283842575132,0.8970856562107877,0.7719991697844228,0.9796334298396862,0.9064375205280292,
4,-55,B,durham,0.61,0.42,1.05,0.650885488365334,0.9492840711769144,0.8539697999510085,0.6682214507808774,0.9697898483899388,0.8470501823097634,
0,-50,B,durham,0.59,0.42,1.06,0.9111034602977623,0.9843268106049816,0.964374252306228,0.9344394049204494,0.9898827400523422,0.9759034605075956,
1,-50,B,durham,0.62,0.42,1.05,0.89014616604737,0.9795815433214432,0.9550380772988276,0.9243712556324336,0.9919915430014512,0.9737667119643348,
2,-50,B,durham,0.6,0.42,1.05,0.8426754340354167,0.977340308048691,0.9383188102072026,0.8760416630661005,0.9870717887908488,0.9548045155013986,
3,-50,B,durham,0.6,0.42,1.05,0.7603407604943551,0.9681570240792668,0.9059276041670004,0.796927849641276,0.9800067716395356,0.9147691069872246,
4,-50,B,durham,0.63,0.42,1.04,0.6515923169773388,0.9409645936537898,0.848787011440136,0.6872501001505698,0.9744880546700426,0.8505033161257995,
0,-45,B,durham,0.59,0.42,1.08,0.9341409025688756,0.985147768869472,0.972185792511978,0.9550911011348884,0.9918004767443792,0.9834384117802352,
1,-45,B,durham,0.61,0.42,1.06,0.9160122060725624,0.9817740197972448,0.9644857648505096,0.9442438811339904,0.9919515594122394,0.9796277201044252,
2,-45,B,durham,0.61,0.42,1.05,0.8597062235756021,0.9764548807996866,0.9439029692592458,0.8984440811105715,0.989323556740898,0.9633918646091402,
3,-45,B,durham,0.6,0.42,1.05,0.7757309638146646,0.9671552920588355,0.910001527157326,0.8115290608588148,0.9801778089626516,0.9202504605786864,
