HA mid,Dec,VIS band,PSF,Guide,VIS Centre,NIR Centre,VIS Min,VIS Max,VIS Throughput,NIR Min,NIR Max,NIR Throughput,Metric
0,-80,B,moffat,0.6,0.42,1.05,0.6896398307118691,0.9747450947350202,0.8782068490484066,0.7307537658915048,0.9842792503744026,0.8795507341997277,
1,-80,B,moffat,0.6,0.42,1.05,0.685044534903198,0.9743158771593124,0.8761441420720488,0.7260157304365275,0.983981465273336,0.8776170172634862,
2,-80,B,moffat,0.6,0.42,1.05,0.6714725727938253,0.9730093113803872,0.8699804539325952,0.7129105454582839,0.9831239234115884,0.8714115906905542,
3,-80,B,moffat,0.6,0.42,1.05,0.6495616805340294,0.970775752242232,0.8598049650937309,0.6919016593378149,0.9816745393277334,0.8610071743697921,
4,-80,B,moffat,0.6,0.42,1.05,0.6203718121859484,0.9675601603782902,0.8458122282891332,0.663879352960661,0.9795965679012716,0.8465804126731116,
0,-75,B,moffat,0.6,0.42,1.05,0.746389233088268,0.9779071111542208,0.9018627600327952,0.7837309857676908,0.9863274878279634,0.9043208452106378,
1,-75,B,moffat,0.6,0.42,1.05,0.7399602986303401,0.9773264126333936,0.8991156897122253,0.7773476824181426,0.9859377623393276,0.9016931726261206,
2,-75,B,moffat,0.6,0.42,1.05,0.7208846974268834,0.9755131702110076,0.8908269404029782,0.7593327018093016,0.9847664315018688,0.8933193616682781,
3,-75,B,moffat,0.6,0.42,1.05,0.6898355650642413,0.9722492783859402,0.8768789547388659,0.7300626883095811,0.9826727506030202,0.8790396290412427,
4,-75,B,moffat,0.6,0.42,1.05,0.6480563149021256,0.967163198353434,0.8571510817150895,0.6903952697768334,0.9794147885853376,0.8587030523200431,
0,-70,B,moffat,0.6,0.42,1.05,0.7956478729135193,0.9803503731225311,0.9213783358677874,0.8293267019518967,0.9879091014598452,0.9245529708623982,
1,-70,B,moffat,0.6,0.42,1.05,0.7876459872585087,0.9796564437564822,0.9180992891220676,0.8215773642144344,0.9874519867806052,0.9214060789105276,
2,-70,B,moffat,0.6,0.42,1.05,0.7637751782250106,0.9774377166136458,0.9081097943737384,0.7994124283953468,0.9860326084348628,0.91135111259595,
3,-70,B,moffat,0.6,0.42,1.05,0.7245612878778855,0.9732441197439206,0.8909776355737518,0.7629454151048469,0.9833619532182136,0.8938669676969484,
4,-70,B,moffat,0.61,0.42,1.05,0.6701176143089361,0.9641789971015674,0.8644455592705782,0.7133808242013423,0.980837791301064,0.8701151469912448,
0,-65,B,moffat,0.59,0.42,1.05,0.8390262698270377,0.9833615174067598,0.938486814154172,0.8675749918905078,0.9880062794849996,0.9397240812583272,
1,-65,B,moffat,0.6,0.42,1.05,0.8285512238017699,0.9814825701099646,0.9337586908568736,0.8593155048388835,0.9886387708330048,0.937464206612815,
2,-65,B,moffat,0.6,0.42,1.05,0.8005278921506848,0.9789339503763186,0.9223916500588906,0.833655840187698,0.9870200188521914,0.9261032999677506,
3,-65,B,moffat,0.6,0.42,1.05,0.7540148937186784,0.9738940625164888,0.9025254829003244,0.7909020073905679,0.9838274853971564,0.9059334404002948,
4,-65,B,moffat,0.61,0.42,1.05,0.6889517317235045,0.9626836453996296,0.8711406375341445,0.7317607483655679,0.9800875427937116,0.877430794155781,
0,-60,B,moffat,0.59,0.42,1.05,0.8747050701845018,0.9848698259473356,0.9515842554358652,0.9003303079426266,0.9891033810904648,0.9530850388739516,
1,-60,B,moffat,0.59,0.42,1.05,0.8642635243927769,0.984063701553372,0.9475973769654124,0.8905232284894857,0.9884801763467486,0.9492119997673676,
2,-60,B,moffat,0.6,0.42,1.05,0.831526743026896,0.9801697116067812,0.934095928917225,0.8625106891665045,0.98778809265194,0.9380542065551478,
3,-60,B,moffat,0.6,0.42,1.05,0.778471129633705,0.9743165129049092,0.9118333503025888,0.8142383836595845,0.9841110772482112,0.9155849618338116,
4,-60,B,moffat,0.61,0.42,1.05,0.7035838999934905,0.9608714260403752,0.8758504236066429,0.7463350392884369,0.979109979756022,0.8826770353633593,
0,-55,B,moffat,0.6,0.42,1.05,0.9032865058611628,0.9851557111870952,0.9613106499592744,0.9280308597810938,0.990938680926146,0.964853064782546,
1,-55,B,moffat,0.59,0.42,1.05,0.8929745897707787,0.9852192711024776,0.957958387024166,0.9169195818020506,0.9893284099945286,0.959656564103952,
2,-55,B,moffat,0.6,0.42,1.05,0.8571484729237829,0.9811547201220332,0.9435513790317974,0.8863833522720497,0.9883776260364572,0.9475923950479505,
3,-55,B,moffat,0.6,0.42,1.05,0.7981897612495443,0.9745621752427146,0.9191337364468292,0.8332215611222624,0.9842323634209617,0.9230928524235756,
4,-55,B,moffat,0.61,0.42,1.05,0.7141718657136006,0.9587344974475682,0.8786995853907623,0.7572324487074759,0.9778994303660028,0.8859983972410811,
0,-50,B,moffat,0.59,0.42,1.06,0.9284886749868386,0.9870206363093856,0.9707001349038668,0.9475442169288746,0.9905333948790443,0.9727624436168806,
1,-50,B,moffat,0.62,0.42,1.05,0.9131574878761946,0.9834091641951336,0.9635847924006892,0.9397580242139976,0.9925789217212924,0.97087602848699,
2,-50,B,moffat,0.6,0.42,1.05,0.8777488490294225,0.9818812740709156,0.9510161457322842,0.9056399030398512,0.9888444191014282,0.9550318689537648,
3,-50,B,moffat,0.6,0.42,1.05,0.8134051054807869,0.97455009687309,0.924600330481406,0.8480808314615622,0.9842169137279012,0.9286671547500612,
4,-50,B,moffat,0.63,0.42,1.04,0.7186173372589333,0.9514586503492872,0.8761124880395339,0.7675721990487261,0.9811172895795724,0.8879598406800325,
